# Rust path	upstream path	upstream anchor	sync mode	notes
rmath-rs/rmath/src/eval/eval.rs	r-source/src/main/eval.c	Rf_eval, do_begin, do_if, do_for, do_while	rust-shaped	Typed EvalContext/RSession entrypoints own cancellation and visibility; raw shim delegates inward.
rmath-rs/rmath/src/eval/closure.rs	r-source/src/main/eval.c	applyClosure, matchArgs_NR	rust-shaped	Promise/default-argument semantics with Rust-owned frames and checked ownership.
rmath-rs/rmath/src/eval/arithmetic.rs	r-source/src/main/arithmetic.c	R_binary, R_unary, arithmetic builtins	faithful	User-visible arithmetic, recycling, NA/NaN and type promotion should track upstream.
rmath-rs/rmath/src/eval/complex_arith.rs	r-source/src/main/complex.c	complex arithmetic helpers	faithful	Complex arithmetic helpers track upstream edge behavior.
rmath-rs/rmath/src/eval/dispatch.rs	r-source/src/main/objects.c	UseMethod, NextMethod	rust-shaped	S3 dispatch semantics with session-owned method lookup.
rmath-rs/rmath/src/eval/context.rs	r-source/src/main/context.c	RCNTXT, findcontext	rust-shaped	Context stack is owned by RInstance rather than process-global state.
rmath-rs/rmath/src/sexp/accessors.rs	r-source/src/include/Rinternals.h	INTEGER_ELT, REAL_ELT, SET_*_ELT	rust-shaped	Checked exact-type accessors replace raw vector-buffer reinterpretation.
rmath-rs/rmath/src/sexp/memory.rs	r-source/src/main/memory.c	allocVector, duplicate, PROTECT	rust-shaped	Arena/session ownership replaces process-global heap where possible.
rmath-rs/rmath/src/sexp/session.rs	r-source/src/main/memory.c	R_InitMemory, Rf_initEmbeddedR	rust-shaped	Session-owned interpreter state enables multiple independent instances.
rmath-rs/rmath/src/sexp/protect.rs	r-source/src/main/memory.c	PROTECT, UNPROTECT, R_PreserveObject	rust-shaped	Protect/preserve stacks are scoped to RInstance.
rmath-rs/rmath/src/sexp/gengc.rs	r-source/src/main/memory.c	R_gc_internal	known-gap	Arena ownership currently avoids full moving/mark-sweep GC parity; lifetime discipline is the safety boundary.
rmath-rs/rmath/src/sexp/attrib_core.rs	r-source/src/main/attrib.c	setAttrib, getAttrib, namesgets	rust-shaped	Attribute manipulation is shared by typed Sexp APIs and compatibility shims.
rmath-rs/rmath/src/mainutils/essentials.rs	r-source/src/main/builtin.c	do_c, do_list, do_seq	rust-shaped	Curated Android-essential builtin surface; C-shaped dispatch delegates to safer helpers.
rmath-rs/rmath/src/mainutils/subset.rs	r-source/src/main/subset.c	do_subset, do_subset2, R_DispatchOrEvalSP	faithful	Subsetting with S3/S4 dispatch via DispatchOrEval on objects.
rmath-rs/rmath/src/mainutils/subassign.rs	r-source/src/main/subassign.c	do_subassign, R_DispatchOrEvalSP	faithful	Replacement/subassignment with object method dispatch.
rmath-rs/rmath/src/mainutils/subscript.rs	r-source/src/main/subscript.c	makeSubscript, integerSubscript	faithful	Index coercion, negative/zero/NA handling maps to upstream.
rmath-rs/rmath/src/mainutils/coerce.rs	r-source/src/main/coerce.c	coerceVector, as* helpers	faithful	Type coercion behavior should track upstream.
rmath-rs/rmath/src/mainutils/attrib.rs	r-source/src/main/attrib.c	do_attr, do_attributes, classgets	rust-shaped	Compatibility entrypoints delegate into shared attribute helpers.
rmath-rs/rmath/src/mainutils/objects.rs	r-source/src/main/objects.c	UseMethod, inherits, classgets	rust-shaped	Object system behavior with explicit session state.
rmath-rs/rmath/src/mainutils/envir.rs	r-source/src/main/envir.c	findVar, defineVar, setVar	rust-shaped	Environment frames are owned by RInstance.
rmath-rs/rmath/src/mainutils/errors.rs	r-source/src/main/errors.c	errorcall, warningcall, conditions	rust-shaped	Condition/error behavior without setjmp process-global unwinding.
rmath-rs/rmath/src/mainutils/print.rs	r-source/src/main/print.c	PrintValueEnv, PrintObject	faithful	Print output should match stock R where conformance covers it.
rmath-rs/rmath/src/mainutils/printutils.rs	r-source/src/main/printutils.c	print utilities	faithful	Formatting support for print paths.
rmath-rs/rmath/src/mainutils/printvector.rs	r-source/src/main/printvector.c	printVector	faithful	Vector printing behavior.
rmath-rs/rmath/src/mainutils/format.rs	r-source/src/main/format.c	formatVector	faithful	String/number formatting behavior.
rmath-rs/rmath/src/mainutils/deparse.rs	r-source/src/main/deparse.c	deparse1, deparse2buff	faithful	Deparse output should track upstream for parser/eval diagnostics.
rmath-rs/rmath/src/mainutils/names.rs	r-source/src/main/names.c	FUNTAB, builtins table	rust-shaped	Registration table keeps C names but delegates to Rust implementations.
rmath-rs/rmath/src/mainutils/random.rs	r-source/src/main/random.c	do_sample, FixupSeeds	rust-shaped	User-visible random helpers with session-owned RNG.
rmath-rs/rmath/src/rng/mod.rs	r-source/src/main/RNG.c	GetRNGstate, PutRNGstate	rust-shaped	RNG state is per session; exact .Random.seed byte stream parity is not claimed.
rmath-rs/rmath/src/mainutils/connections.rs	r-source/src/main/connections.c	Rconnections, file/url helpers	policy	Android path and process policy intentionally constrain host IO.
rmath-rs/rmath/src/mainutils/paths.rs	r-source/src/main/platform.c	R_HomeDir, R_tmpnam	policy	Android app-private path policy replaces process/user-global paths.
rmath-rs/rmath/src/mainutils/platform.rs	r-source/src/main/platform.c	platform helpers	policy	Host-sensitive values are normalized for Android embedding.
rmath-rs/rmath/src/mainutils/source.rs	r-source/src/main/source.c	R_ParseEvalFile	rust-shaped	Package/source loading flows through session-owned parser/evaluator.
rmath-rs/rmath/src/mainutils/dcf.rs	r-source/src/main/dcf.c	read.dcf support	faithful	DESCRIPTION parsing for pure-R packages.
rmath-rs/rmath/src/mainutils/registration.rs	r-source/src/main/registration.c	R_registerRoutines	policy	Native routine registration is host-policy-gated on Android.
rmath-rs/rmath/src/mainutils/rdynload.rs	r-source/src/main/Rdynload.c	dyn.load, useDynLib	policy	Dynamic loading is rejected on Android until host-owned native policy exists.
rmath-rs/rmath/src/appl/integrate.rs	r-source/src/appl/integrate.c	Rdqags, Rdqagi	faithful	Numerical integration routines.
rmath-rs/rmath/src/appl/interv.rs	r-source/src/appl/interv.c	findInterval	faithful	Interval search semantics.
rmath-rs/rmath/src/appl/lbfgsb.rs	r-source/src/appl/lbfgsb.c	lbfgsb	faithful	Optimization routine translation.
rmath-rs/rmath/src/appl/maxcol.rs	r-source/src/appl/maxcol.c	maxcol	faithful	Matrix max-column helper.
rmath-rs/rmath/src/appl/optim.rs	r-source/src/appl/optim.c	optim helpers	faithful	Optimization helpers.
rmath-rs/rmath/src/appl/pretty.rs	r-source/src/appl/pretty.c	pretty	faithful	Pretty break calculation.
rmath-rs/rmath/src/appl/uncmin.rs	r-source/src/appl/uncmin.c	uncmin	faithful	Optimization routine translation.
crates/r-graphics-engine/src/lib.rs	r-source/src/main/graphics.c	graphics engine device calls	rust-shaped	Device-independent Rust drawing primitives for embedding.
crates/r-device-android-headless/src/lib.rs	r-source/src/include/R_ext/GraphicsEngine.h	graphics device contract	rust-shaped	PNG-backed headless Android renderer.
rmath-rs/rmath/src/android.rs	none	Android embedding facade	rust-shaped	No upstream C equivalent; app-facing owned values and session policy.
crates/r-embed/src/lib.rs	none	Rust embedding facade	rust-shaped	No upstream C equivalent; public safe owned Rust API.
crates/r-uniffi/src/lib.rs	none	UniFFI binding facade	rust-shaped	No upstream C equivalent; generated Kotlin/Swift-safe API.
