# path	unsafe_op_in_unsafe_fn_warnings	policy	notes
# Generated from scripts/unsafe_op_report.sh on 2026-04-25 before moving the crate-level allow into module-level legacy allow entries.
rmath-rs/rmath/src/library/grid/viewport.rs	227	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/appl/linpack_qr.rs	215	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/smooth.rs	207	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/loglin.rs	165	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/fourier.rs	159	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/utils/stubs.rs	151	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/integrate.rs	142	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/lowess.rs	141	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/lm.rs	140	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/line.rs	134	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tools/text.rs	129	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/splines/splines.rs	127	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grid/state.rs	126	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/distance.rs	126	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/complete_cases.rs	120	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/filter.rs	116	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/graphics/stem.rs	115	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/kmeans.rs	112	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tools/md5.rs	110	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/bspline.rs	105	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/bandwidths.rs	100	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grid/util.rs	95	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tools/sha256.rs	94	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/family.rs	93	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/rwishart.rs	88	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/ansari.rs	80	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/isoreg.rs	78	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/srunmed.rs	77	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/influence.rs	75	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/methods/methods_list_dispatch.rs	74	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/utils/hashtab.rs	72	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grid/path.rs	68	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/chisqsim.rs	67	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/approx.rs	66	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/holtwinters.rs	66	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/permdist.rs	62	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/ksmooth.rs	60	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grid/typeset.rs	53	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/d2x2xk.rs	52	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tools/install.rs	51	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/swilk.rs	49	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/burg.rs	48	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/monospl.rs	46	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/kendall.rs	44	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/appl/linpack_band.rs	43	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/rcont.rs	43	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/axis_scales.rs	40	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/eval/special.rs	39	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/methods/slot.rs	38	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tools/signals.rs	38	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/utils/size.rs	38	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/devwindows.rs	37	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/ppsum.rs	37	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tools/http.rs	35	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tools/pdscan.rs	33	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/graphics/par.rs	32	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/hclust_utils.rs	32	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/massdist.rs	31	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tools/rmd5.rs	29	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/eval/eval.rs	28	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/mar.rs	28	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/trunmed.rs	28	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tools/rsha256.rs	27	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/parallel/rngstream.rs	26	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tools/getfmts.rs	26	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/eval/closure.rs	24	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/graphics/base.rs	24	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/sexp/envir.rs	23	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/stubs.rs	22	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grid/clippath.rs	21	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grid/matrix.rs	20	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tcltk/tcltk.rs	19	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grid/mask.rs	17	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/prho.rs	16	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/parallel/ncpus.rs	12	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/graphics/graphics.rs	11	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/zeroin.rs	11	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/group.rs	10	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/stats/dblcen.rs	10	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grid/types.rs	9	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/graphapp/drawing.rs	6	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/methods/class_support.rs	6	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/utils/sock.rs	6	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/devcairo.rs	4	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/init.rs	4	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/devquartz.rs	3	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tools/gramrd.rs	3	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tools/init.rs	3	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/clippath.rs	2	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/mask.rs	2	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/patterns.rs	2	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grid/just.rs	2	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/methods/tests.rs	2	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/methods/utils_methods.rs	2	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/utils/utils.rs	2	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/graphics/par_common.rs	1	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/grdevices/device_registry.rs	1	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
rmath-rs/rmath/src/library/tools/gramlatex.rs	1	legacy-module-allow	Temporary audited C-port boundary; remove by wrapping unsafe operations or replacing with safe facades.
